Name,Description
TCE,"Joining bonus : . 50,000,Django, python,AI,ml,product based"
TCS,"prime : 9 lpa   Digital : 7 lpa  NInja : 3.3 lpa,kubernets, java, springboot,hibernate,product based"
TE Connectivity 2,"CTC: INR 800,000 + PF &amp; Gratuity + VP at 6%: Total CTC will be INR 9.1 L,datascince , numpy , angular,product based"
THOUGHTWORKS,"11.10 LPA,kubernets, java, springboot,hibernate,product based"
Transunion,"8 LPA Total CTC + 1 L Joining Bonus,android, kotlin, reactjs, service based"
Turing - ,"datascince , numpy , angular,product based"
Unilog,"Stipend: ₹25,000 per month,kubernets, java, springboot,hibernate,product based"
v tiger,"3.5 to 6 lpa,web developement, react, js, angular,product based"
Webknot Technologies Pvt Ltd,"No. of opening: 7
Stipend during the training program: INR 15,000/Month
CTC for Full time role: INR 7,00,000 (Based on performance during the training period,kubernets, java, springboot,hibernate,product based"
western digital,"Base Salary CTC - INR 9,90,000

Comp III (Base + Employer PF + STI) - INR 11,42,460

Cash -Sign On Bonus in INR - INR 3,00,000,kubernets, java, springboot,hibernate,product based"
Winman Software,"6 ctc ,web developement, react, js, angular,product based"
ZETA TECH,"Duration: 3 months
Start Month: April 2025
Stipend: ₹60,000 per month
Location: Mumbai/Hyderabad/Bangalore (Based on the projects),kubernets, java, springboot,hibernate,product based"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
